track,artist,album,popularity,user_id
Sweet Hurting,GANGGA,Sweet Hurting,47,31dtkpscjpmqgztb7y4s2f65lony
the way things go,beabadoobee,the way things go,80,31dtkpscjpmqgztb7y4s2f65lony
Girl Song,beabadoobee,This Is How Tomorrow Moves,60,31dtkpscjpmqgztb7y4s2f65lony
When It's Time,Green Day,American Idiot - The Original Broadway Cast Recording,57,31dtkpscjpmqgztb7y4s2f65lony
Promise,Laufey,Bewitched,81,31dtkpscjpmqgztb7y4s2f65lony
The Most Beautiful Thing,Bruno Major,To Let A Good Thing Die,69,31dtkpscjpmqgztb7y4s2f65lony
You're Gonna Live Forever in Me,John Mayer,The Search for Everything,75,31dtkpscjpmqgztb7y4s2f65lony
Happiness,Rex Orange County,Apricot Princess,76,31dtkpscjpmqgztb7y4s2f65lony
seasons,wave to earth,summer flows 0.02,82,31dtkpscjpmqgztb7y4s2f65lony
august,Taylor Swift,folklore,87,31dtkpscjpmqgztb7y4s2f65lony
Sparks,Coldplay,Parachutes,92,31dtkpscjpmqgztb7y4s2f65lony
A Song About Being Sad,Rex Orange County,Bcos U Will Never B Free,59,31dtkpscjpmqgztb7y4s2f65lony
Letter To My 13 Year Old Self,Laufey,Bewitched,67,31dtkpscjpmqgztb7y4s2f65lony
This Is How It Feels (with Laufey),d4vd,Petals to Thorns,76,31dtkpscjpmqgztb7y4s2f65lony
On Bended Knee,Boyz II Men,II,77,31dtkpscjpmqgztb7y4s2f65lony
Ripples,beabadoobee,Beatopia,62,31dtkpscjpmqgztb7y4s2f65lony
Love Is A Verb,John Mayer,Born and Raised,60,31dtkpscjpmqgztb7y4s2f65lony
The Scientist,Coldplay,A Rush of Blood to the Head,91,31dtkpscjpmqgztb7y4s2f65lony
Just You,Teddy Adhitya,Question Mark ((?)),62,31dtkpscjpmqgztb7y4s2f65lony
Let You Break My Heart Again,Laufey,Let You Break My Heart Again,80,31dtkpscjpmqgztb7y4s2f65lony
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,89,31dtkpscjpmqgztb7y4s2f65lony
Glue Song,beabadoobee,Glue Song,84,31dtkpscjpmqgztb7y4s2f65lony
THE SHADE,Rex Orange County,WHO CARES?,78,31dtkpscjpmqgztb7y4s2f65lony
Last Kiss (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),71,31dtkpscjpmqgztb7y4s2f65lony
Nothing,Bruno Major,To Let A Good Thing Die,76,31dtkpscjpmqgztb7y4s2f65lony
Someone Like You,Adele,21,84,31dtkpscjpmqgztb7y4s2f65lony
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,Taylor Swift (Deluxe Edition),66,31dtkpscjpmqgztb7y4s2f65lony
Let Down,Radiohead,OK Computer,90,31dtkpscjpmqgztb7y4s2f65lony
You’re here that’s the thing,beabadoobee,Beatopia,70,31dtkpscjpmqgztb7y4s2f65lony
Waiting Room,Phoebe Bridgers,"Lost Ark Studio Compilation, Vol. 8",79,31dtkpscjpmqgztb7y4s2f65lony
Will I Ever Love Again?,Jordan Susanto,Jordan,41,31dtkpscjpmqgztb7y4s2f65lony
Did You Like Her In The Morning?,NIKI,Buzz,67,31dtkpscjpmqgztb7y4s2f65lony
Kata Mereka Ini Berlebihan,Bernadya,Kata Mereka Ini Berlebihan,70,31dtkpscjpmqgztb7y4s2f65lony
That Look You Give That Guy,Eels,Hombre Lobo,60,31dtkpscjpmqgztb7y4s2f65lony
High Hopes,Kodaline,In A Perfect World (Expanded Edition),68,31dtkpscjpmqgztb7y4s2f65lony
Dear John (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),69,31dtkpscjpmqgztb7y4s2f65lony
Still,Jeff Bernat,She Loves Me Not,65,31dtkpscjpmqgztb7y4s2f65lony
From The Start,Laufey,Bewitched,86,31dtkpscjpmqgztb7y4s2f65lony
Heavy,The Marías,CINEMA,85,31dtkpscjpmqgztb7y4s2f65lony
An Art Gallery Could Never Be As Unique As You,mrld,An Art Gallery Could Never Be As Unique As You,70,31dtkpscjpmqgztb7y4s2f65lony
champagne problems,Taylor Swift,evermore,76,31dtkpscjpmqgztb7y4s2f65lony
Almost Is Never Enough,Ariana Grande,Yours Truly,71,31dtkpscjpmqgztb7y4s2f65lony
Fearless (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),79,31dtkpscjpmqgztb7y4s2f65lony
A Night To Remember,beabadoobee,A Night To Remember,78,31dtkpscjpmqgztb7y4s2f65lony
Cruel Summer,Taylor Swift,Lover,92,31dtkpscjpmqgztb7y4s2f65lony
Out Of My League,LANY,a beautiful blur,69,31dtkpscjpmqgztb7y4s2f65lony
Dreaming with a Broken Heart,John Mayer,Continuum,59,31dtkpscjpmqgztb7y4s2f65lony
Moving On,Kodaline,Coming Up for Air (Expanded Edition),58,31dtkpscjpmqgztb7y4s2f65lony
No. 1 Party Anthem,Arctic Monkeys,AM,90,31dtkpscjpmqgztb7y4s2f65lony
Apa Mungkin,Bernadya,Apa Mungkin,77,31dtkpscjpmqgztb7y4s2f65lony
